id,tipo_bebida,marca,material_envase,capacidad,grados_alcohol,origen,EF,ET,EL,marbete,forma_envase,h,diametro_base,ancho_base,largo_base,EF1_ancho,EF1_largo,EF2_ancho,EF2_largo,EL1_ancho,EL1_largo,EL2_ancho,EL2_largo,ET1_ancho,ET1_largo,ET2_ancho,ET2_largo,marbete_altura,marbete_diametro,tamano_texto,posicion_pictograma,P1_menos_18a,P1_altura,P2_embarazo,P2_altura,P3_conduccion,P3_altura,P4_mas_18a,P4_altura,total_pictogramas,color_fondo,color_etiqueta,color_figura,color_lineas
1,Cerveza,carta blanca,Vidrio Ambar,300,4.5,Nacional,Si,No,No,No,Cilindro,90,60.34,,,66,92,0,0,,,,,,,,,,,3,3,0,,0,,0,,1,10.3,1,Gris,,Negro,
2,Ron,kraken,Vidrio Transparente,750,35,Nacional,Si,Si,No,No,Cilindro,127,88.1,,,109,119,0,0,,,,,82,95,0,0,32,30.09,3.5,1,1,8,1,8,1,8,0,,3,Transparente,Crema,Negro,Negro
3,Vino,riunite,Vidrio Verde,750,8,Importado,Si,Si,No,Si,Cilindro,121,80.26,,,67,103,0,0,,,,,65,75,0,0,49,27.75,3.5,1,1,10,1,10,1,10,0,,3,Blanco,,Negro,Gris
4,Tequila,don ramon,Vidrio Transparente,1000,38,Nacional,Si,Si,No,No,Cilindro,276,71.83,,,222,97,0,0,,,,,102,59,0,0,,,5,1,1,7,1,7,1,7,0,,3,Transparente,Transparente,Negro,Rojo
5,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
6,Whiskey,johnnie walker black label,Vidrio Transparente,750,40,Importado,Si,Si,No,Si,Prisma rectangular,240,,69.58,65.77,82,47,82,18.54878049,,,,,71,40,0,0,40,32.23,4.5,1,1,8,1,8,1,8,0,,3,Transparente,Negro,Dorado,Dorado
7,Vino,opera prima,Vidrio Verde,750,13,Importado,Si,Si,No,Si,Cilindro,194,68.88,,,100,85,0,0,,,,,100,65,100,13.2,50,27.34,4.5,1,1,8,1,8,1,8,0,,3,Transparente,Negro,Crema,Rojo
8,Cerveza,tempus,Vidrio Ambar,355,7,Nacional,Si,Si,No,Si,Cilindro,120,59.22,,,89,98,0,0,,,,,70,50,0,0,30,61,2.5,1,1,5,1,5,1,5,0,,3,Transparente,Negro,Blanco,Blanco
9,Cerveza,moldova,Vidrio Ambar,350,6.2,Nacional,Si,No,Si,No,Cilindro,98,61.14,,,89,67,0,0,57,49,57,32,,,,,,,2.5,2,1,8,1,8,1,8,0,,3,Crema,,Negro,Rojo
10,Cerveza,tempus,Vidrio Ambar,355,5.2,Nacional,Si,Si,No,Si,Cilindro,120,59.22,,,89,98,0,0,,,,,70,50,0,0,30,61,2.5,1,0,,0,,0,,1,10.5,1,Verde,,Blanco,
11,Cerveza,cucapá,Vidrio Ambar,355,4.8,Nacional,Si,No,No,No,Cilindro,155,60.18,,,84,100,0,0,,,,,,,,,,,3,3,0,,0,,0,,1,10.5,1,Transparente,Blanco,Negro,
12,Vino,Andiamo,Vidrio Verde,750,8,Importado,Si,Si,No,No,Cilindro,155,73.44,,,90,60,0,0,,,,,90,60,0,0,,,3.5,1,1,8,1,8,1,8,0,,3,Transparente,Blanco,Negro,Rojo
